Date,Symbol,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close
,,AAPL,TSLA,MSFT,GOOG,AMZN,NVDA,META,NFLX,JPM,BAC
2025-02-04,AMZN,,,,,242.05999755859375,,,,,
2025-02-04,BAC,,,,,,,,,,46.1451416015625
2025-02-04,GOOG,,,,207.22454833984375,,,,,,
2025-02-04,JPM,,,,,,,,,266.2997131347656,
2025-02-04,META,,,,,,,703.0231323242188,,,
2025-02-04,MSFT,,,410.7906494140625,,,,,,,
2025-02-04,NFLX,,,,,,,,994.8699951171875,,
2025-02-04,NVDA,,,,,,118.63085174560547,,,,
2025-02-04,TSLA,,392.2099914550781,,,,,,,,
2025-02-05,AAPL,231.91058349609375,,,,,,,,,
2025-02-05,AMZN,,,,,236.1699981689453,,,,,
2025-02-05,BAC,,,,,,,,,,46.540306091308594
2025-02-05,GOOG,,,,192.8482208251953,,,,,,
2025-02-05,JPM,,,,,,,,,268.77447509765625,
2025-02-05,META,,,,,,,703.7020263671875,,,
2025-02-05,MSFT,,,411.7071533203125,,,,,,,
2025-02-05,NFLX,,,,,,,,1011.1099853515625,,
2025-02-05,NVDA,,,,,,124.80985260009766,,,,
2025-02-05,TSLA,,378.1700134277344,,,,,,,,
2025-02-06,AAPL,232.6587677001953,,,,,,,,,
2025-02-06,AMZN,,,,,238.8300018310547,,,,,
2025-02-06,BAC,,,,,,,,,,47.162689208984375
2025-02-06,GOOG,,,,192.8582000732422,,,,,,
2025-02-06,JPM,,,,,,,,,275.2048645019531,
2025-02-06,META,,,,,,,710.8101806640625,,,
2025-02-06,MSFT,,,414.2274475097656,,,,,,,
2025-02-06,NFLX,,,,,,,,1015.6799926757812,,
2025-02-06,NVDA,,,,,,128.65921020507812,,,,
2025-02-06,TSLA,,374.32000732421875,,,,,,,,
2025-02-07,AAPL,227.08221435546875,,,,,,,,,
2025-02-07,AMZN,,,,,229.14999389648438,,,,,
2025-02-07,BAC,,,,,,,,,,46.82680130004883
2025-02-07,GOOG,,,,186.70262145996094,,,,,,
2025-02-07,JPM,,,,,,,,,274.1116027832031,
2025-02-07,META,,,,,,,713.3359985351562,,,
2025-02-07,MSFT,,,408.1806945800781,,,,,,,
2025-02-07,NFLX,,,,,,,,1013.9299926757812,,
2025-02-07,NVDA,,,,,,129.81903076171875,,,,
2025-02-07,TSLA,,361.6199951171875,,,,,,,,
2025-02-10,AAPL,227.3518524169922,,,,,,,,,
2025-02-10,AMZN,,,,,233.13999938964844,,,,,
