Date,Close,Volume,Open,High,Low,Symbol
2024-10-14,221.48,9048925,223.2,223.7,218.88,JPM
2024-10-14,419.14,16653090,417.77,424.04,417.52,MSFT
2024-10-14,138.07,232347700,136.47,139.6,136.3,NVDA
2024-10-14,43.4,41010910,43.72,44.39,43.28,PLTR
2024-10-14,219.16,86291920,220.13,221.91,213.74,TSLA
2024-10-15,222.39,9235825,223.66,225.45,221.82,JPM
2024-10-15,418.74,18900200,422.18,422.48,415.26,MSFT
2024-10-15,131.6,377831000,137.87,138.57,128.74,NVDA
2024-10-15,42.43,48296970,43.475,43.68,41.515,PLTR
2024-10-15,219.57,62988790,220.01,224.26,217.12,TSLA
2024-10-16,223.64,6382515,222.33,223.68,221.04,JPM
2024-10-16,416.12,15508930,415.17,416.36,410.48,MSFT
2024-10-16,135.72,264879700,133.98,136.62,131.58,NVDA
2024-10-16,41.93,59157940,42.4,42.49,40.36,PLTR
2024-10-16,221.33,49632820,221.4,222.8199,218.93,TSLA
2024-10-17,224.42,6470186,224.27,225.85,223.31,JPM
2024-10-17,416.72,14820000,422.36,422.5,415.59,MSFT
2024-10-17,136.93,306435900,139.34,140.89,136.87,NVDA
2024-10-17,42.0,34028410,42.15,42.7,41.61,PLTR
2024-10-17,220.89,50791780,221.59,222.08,217.9,TSLA
2024-10-18,225.37,7000543,225.0,225.92,223.1,JPM
2024-10-18,418.16,17145320,417.14,419.65,416.2601,MSFT
2024-10-18,138.0,176090200,138.665,138.9,137.28,NVDA
2024-10-18,42.97,33969020,42.015,42.99,41.65,PLTR
2024-10-18,220.7,49611870,220.71,222.28,219.23,TSLA
2024-10-21,223.0,5869959,225.22,225.7,222.9,JPM
2024-10-21,418.78,14206120,416.12,418.96,413.7501,MSFT
2024-10-21,143.71,264554500,138.13,143.71,138.0,NVDA
2024-10-21,42.7,30719780,42.86,43.4,42.41,PLTR
2024-10-21,218.85,47328990,218.9,220.48,215.726,TSLA
2024-10-22,224.12,9586793,223.02,225.28,221.1,JPM
2024-10-22,427.51,25482200,418.49,430.5793,418.04,MSFT
2024-10-22,143.59,226311600,142.91,144.42,141.78,NVDA
2024-10-22,42.94,27830730,42.69,43.49,42.3,PLTR
2024-10-22,217.97,43268740,217.31,218.22,215.26,TSLA
2024-10-23,223.41,6180528,223.66,224.7999,222.53,JPM
2024-10-23,424.6,19654380,430.855,431.08,422.53,MSFT
2024-10-23,139.56,285930000,142.03,142.43,137.46,NVDA
2024-10-23,42.59,35646980,42.85,43.68,42.055,PLTR
2024-10-23,213.65,80938890,217.125,218.72,212.11,TSLA
2024-10-24,224.98,6002202,221.83,225.06,221.66,JPM
2024-10-24,424.73,13581630,425.325,425.9782,422.4,MSFT
2024-10-24,140.41,172354900,140.82,141.35,138.46,NVDA
2024-10-24,43.56,34079560,42.89,43.73,42.66,PLTR
2024-10-24,260.48,204491900,244.68,262.1199,242.65,TSLA
2024-10-25,222.31,6369720,225.0,225.62,220.875,JPM
2024-10-25,428.15,16899060,426.76,432.52,426.565,MSFT
2024-10-25,141.54,205122100,140.93,144.13,140.8,NVDA
