Date,AAPL,AMZN,BAC,GOOG,JPM,META,MSFT,NFLX,NVDA,TSLA
2025-02-14,244.2796630859375,228.67999267578125,46.39211654663086,186.4332427978516,274.8967590332031,735.4492797851562,406.86572265625,1058.5999755859375,138.8275909423828,355.8399963378906
2025-02-18,244.14984130859372,226.6499938964844,45.96731948852539,185.36575317382807,278.2362060546875,715.1829223632812,408.0711059570313,1035.8499755859375,139.37750244140625,354.1099853515625
2025-02-19,244.5493011474609,226.6300048828125,45.45360565185547,186.69265747070312,277.5404968261719,702.6038818359375,413.1814270019531,1043.3299560546875,139.20751953125,360.55999755859375
2025-02-20,245.508056640625,222.8800048828125,44.75219345092773,186.2037811279297,265.16668701171875,693.6885986328125,415.3674621582031,1024.5400390625,140.08738708496094,354.3999938964844
2025-02-21,245.2284240722656,216.5800018310547,44.26811981201172,181.15560913085935,262.62237548828125,682.4173583984375,407.4619445800781,1003.1500244140624,134.40829467773438,337.79998779296875
2025-02-24,246.77639770507807,212.7100067138672,43.9223518371582,180.7665252685547,259.7401123046875,667.0228881835938,403.2596740722656,988.469970703125,130.25897216796875,330.5299987792969
2025-02-25,246.71646118164065,212.8000030517578,43.40863800048828,176.95545959472656,255.82423400878903,656.4105224609375,397.17083740234375,977.239990234375,126.60956573486328,302.79998779296875
2025-02-26,240.0452117919922,214.3500061035156,43.40863800048828,174.2917022705078,257.20574951171875,672.5836791992188,398.99749755859375,990.0599975585938,131.25881958007812,290.79998779296875
2025-02-27,236.98922729492188,208.7400054931641,43.58646011352539,169.81219482421875,257.4641418457031,657.1492309570312,391.8106994628906,963.0700073242188,120.130615234375,281.95001220703125
2025-02-28,241.5232696533203,212.27999877929688,45.54251480102539,171.8175048828125,263.02984619140625,667.0927734375,396.2625122070313,980.5599975585938,124.89983367919922,292.9800109863281
2025-03-03,237.71826171875,205.0200042724609,45.00905227661133,168.2658233642578,259.0245361328125,653.964599609375,387.778076171875,973.7000122070312,114.04158782958984,284.6499938964844
2025-03-04,235.6210174560547,203.8000030517578,42.153995513916016,172.2065887451172,248.718017578125,638.9395141601562,387.8978576660156,972.5800170898438,115.97127532958984,272.0400085449219
2025-03-05,235.4312744140625,208.3600006103516,41.77859115600586,174.58102416992188,249.99017333984372,655.3822021484375,400.2851257324219,990.9199829101562,117.28106689453124,279.1000061035156
2025-03-06,235.0218048095703,200.6999969482422,40.9586296081543,173.80284118652344,245.0307159423828,626.8894653320312,396.1627197265625,906.3599853515624,110.55215454101562,263.45001220703125
2025-03-07,238.7569122314453,199.25,41.1574592590332,175.33924865722656,240.7967987060547,624.6232299804688,392.5892639160156,891.1099853515625,112.67181396484376,262.6700134277344
2025-03-10,227.1820831298828,194.5399932861328,39.596656799316406,167.60853576660156,230.79840087890625,596.9990844726562,379.46337890625,866.6799926757812,106.96273040771484,222.1499938964844
2025-03-11,220.55078125,196.58999633789065,39.37794494628906,165.78073120117188,227.73724365234372,604.7063598632812,379.7528381347656,895.0999755859375,108.74244689941406,230.5800018310547
2025-03-12,216.69583129882807,198.88999938964844,39.67618942260742,168.79710388183594,226.5048370361328,618.5333862304688,382.5676574707031,919.6799926757812,115.73196411132812,248.08999633789065
2025-03-13,209.4053955078125,193.88999938964844,39.437591552734375,164.5322265625,223.8114318847656,589.6613159179688,378.0758972167969,890.1699829101562,115.5719757080078,240.67999267578125
2025-03-14,213.21041870117188,197.9499969482422,40.65044784545898,167.41876220703125,231.0170440673828,607.1328125,387.8479614257813,918.0,121.66155242919922,249.97999572753903
2025-03-17,213.71974182128903,195.7400054931641,41.19722366333008,166.37002563476562,232.49790954589844,604.4349365234375,387.98773193359375,950.02001953125,119.52169799804688,238.00999450683597
2025-03-18,212.4114532470703,192.82000732421875,41.4059944152832,162.47470092773438,233.53155517578125,581.9122314453125,382.8171997070313,929.97998046875,115.42198181152344,225.30999755859372
2025-03-19,214.95811462402344,195.5399932861328,41.96271133422852,166.0803680419922,237.64620971679688,583.6109619140625,387.1093444824219,959.489990234375,117.51183319091795,235.8600006103516
2025-03-20,213.81961059570312,194.9499969482422,42.23113250732422,164.8518524169922,237.54681396484372,585.5494384765625,386.131103515625,950.8400268554688,118.52176666259766,236.25999450683597
2025-03-21,217.9841461181641,196.2100067138672,42.22119140625,166.0504150390625,240.1507873535156,595.7915649414062,390.54302978515625,960.2899780273438,117.69182586669922,248.7100067138672
2025-03-24,220.44091796875,203.25999450683597,42.81767654418945,169.72598266601562,246.5414276123047,618.3742065429688,392.3596801757813,971.989990234375,121.40157318115234,278.3900146484375
2025-03-25,223.45697021484372,205.7100067138672,43.02644348144531,172.58255004882812,249.59263610839844,625.8284912109375,394.4358825683594,997.280029296875,120.68162536621094,288.1400146484375
2025-03-26,221.2398681640625,201.1300048828125,42.56914138793945,166.9393310546875,249.4932403564453,610.51025390625,389.2554016113281,970.6500244140624,113.75210571289062,272.0599975585937
2025-03-27,223.5568389892578,201.3600006103516,42.310665130615234,163.8830108642578,246.60104370117188,602.11669921875,389.8642578125,976.719970703125,111.4222640991211,273.1300048828125
2025-03-28,217.6146240234375,192.72000122070312,41.008338928222656,155.8726348876953,241.3633270263672,576.2965698242188,378.1058349609375,933.8499755859376,109.66238403320312,263.54998779296875
2025-03-31,221.83909606933597,190.25999450683597,41.48552703857422,156.0424346923828,243.7983245849609,575.9168701171875,374.7021179199219,932.530029296875,108.37247467041016,259.1600036621094
2025-04-01,222.897705078125,192.1699981689453,41.24693298339844,158.6892547607422,242.1683654785156,585.5494384765625,381.4896545410156,928.3800048828124,110.14234924316406,268.4599914550781
2025-04-02,223.59678649902344,196.00999450683597,41.60482025146485,158.66928100585938,244.3151397705078,583.4810180664062,381.4397583007813,935.52001953125,110.4123306274414,282.760009765625
2025-04-03,202.9239044189453,178.41000366210938,37.001949310302734,152.44676208496094,227.29000854492188,531.2112426757812,372.42626953125,917.0499877929688,101.79293060302734,267.2799987792969
2025-04-04,188.13330078125,171.0,34.18852615356445,147.56263732910156,210.27999877929688,504.3419494628906,359.1806030273437,855.8599853515625,94.30345153808594,239.42999267578125
2025-04-07,181.2223663330078,175.25999450683594,35.37155532836914,149.0608367919922,214.44000244140625,515.8530883789062,357.2042236328125,867.8300170898438,97.63321685791016,233.2899932861328
2025-04-08,172.19419860839844,170.66000366210938,34.82477569580078,146.40402221679688,216.8699951171875,510.05755615234375,353.9102783203125,870.4000244140625,96.29331970214844,221.8600006103516
2025-04-09,198.58958435058597,191.1000061035156,36.93235778808594,160.86663818359375,234.33999633789065,585.3196411132812,389.7744140625,945.469970703125,114.32205963134766,272.20001220703125
2025-04-10,190.17062377929688,181.22000122070312,35.63997268676758,155.1834716796875,227.1100006103516,545.8699951171875,380.6511840820313,921.1699829101562,107.56253051757812,252.3999938964844
2025-04-11,197.89048767089844,184.8699951171875,35.73938751220703,159.2086181640625,236.1999969482422,543.152099609375,387.7381896972656,918.2899780273438,110.92229461669922,252.30999755859372
2025-04-14,202.25477600097656,182.1199951171875,36.45516586303711,161.27615356445312,234.72000122070312,531.0713500976562,387.0993347167969,931.280029296875,110.70230865478516,252.3500061035156
2025-04-15,201.87527465820312,179.58999633789062,37.76743698120117,158.48948669433594,233.1300048828125,521.1190795898438,385.0231628417969,976.280029296875,112.19220733642578,254.1100006103516
2025-04-16,194.0155792236328,174.3300018310547,37.111305236816406,155.3133087158203,229.6100006103516,501.9237976074219,370.9290161132813,961.6300048828124,104.48274230957033,241.5500030517578
